"시점","구조활동실적별(1)","구조활동실적별(2)",소방서별(1),소방서별(2),데이터
"2014","출동건수 (건)","소계",합계,소계,137943
"2014","출동건수 (건)","소계",남부,소계,97081
"2014","출동건수 (건)","소계",남부,특수대응단,532
"2014","출동건수 (건)","소계",남부,수원,8877
"2014","출동건수 (건)","소계",남부,성남,4460
"2014","출동건수 (건)","소계",남부,분당,4702
"2014","출동건수 (건)","소계",남부,부천,4848
"2014","출동건수 (건)","소계",남부,안양,4200
"2014","출동건수 (건)","소계",남부,안산,6269
"2014","출동건수 (건)","소계",남부,용인,11954
"2014","출동건수 (건)","소계",남부,평택,3733
"2014","출동건수 (건)","소계",남부,송탄,3011
"2014","출동건수 (건)","소계",남부,광명,1994
"2014","출동건수 (건)","소계",남부,시흥,3214
"2014","출동건수 (건)","소계",남부,군포,1848
"2014","출동건수 (건)","소계",남부,화성,7756
"2014","출동건수 (건)","소계",남부,이천,3544
"2014","출동건수 (건)","소계",남부,김포,3355
"2014","출동건수 (건)","소계",남부,광주,5794
"2014","출동건수 (건)","소계",남부,안성,3371
"2014","출동건수 (건)","소계",남부,하남,2086
"2014","출동건수 (건)","소계",남부,의왕,1132
"2014","출동건수 (건)","소계",남부,오산,2545
"2014","출동건수 (건)","소계",남부,여주,2802
"2014","출동건수 (건)","소계",남부,양평,3917
"2014","출동건수 (건)","소계",남부,과천,1137
"2014","출동건수 (건)","소계",북부,소계,40862
"2014","출동건수 (건)","소계",북부,특수대응단,82
"2014","출동건수 (건)","소계",북부,고양,3749
"2014","출동건수 (건)","소계",북부,일산,4127
"2014","출동건수 (건)","소계",북부,의정부,3709
"2014","출동건수 (건)","소계",북부,남양주,7394
"2014","출동건수 (건)","소계",북부,파주,6504
"2014","출동건수 (건)","소계",북부,구리,2239
"2014","출동건수 (건)","소계",북부,포천,3789
"2014","출동건수 (건)","소계",북부,양주,3930
"2014","출동건수 (건)","소계",북부,동두천,1734
"2014","출동건수 (건)","소계",북부,가평,2557
"2014","출동건수 (건)","소계",북부,연천,1048
"2014","구조(처리)건수 (건)","소계",합계,소계,97564
"2014","구조(처리)건수 (건)","소계",남부,소계,67098
"2014","구조(처리)건수 (건)","소계",남부,특수대응단,479
"2014","구조(처리)건수 (건)","소계",남부,수원,4331
"2014","구조(처리)건수 (건)","소계",남부,성남,3127
"2014","구조(처리)건수 (건)","소계",남부,분당,3376
"2014","구조(처리)건수 (건)","소계",남부,부천,2879
"2014","구조(처리)건수 (건)","소계",남부,안양,4093
"2014","구조(처리)건수 (건)","소계",남부,안산,3998
"2014","구조(처리)건수 (건)","소계",남부,용인,7633
"2014","구조(처리)건수 (건)","소계",남부,평택,2633
"2014","구조(처리)건수 (건)","소계",남부,송탄,1917
"2014","구조(처리)건수 (건)","소계",남부,광명,1371
"2014","구조(처리)건수 (건)","소계",남부,시흥,1935
"2014","구조(처리)건수 (건)","소계",남부,군포,1415
"2014","구조(처리)건수 (건)","소계",남부,화성,5431
"2014","구조(처리)건수 (건)","소계",남부,이천,2663
"2014","구조(처리)건수 (건)","소계",남부,김포,2305
"2014","구조(처리)건수 (건)","소계",남부,광주,4448
"2014","구조(처리)건수 (건)","소계",남부,안성,2145
"2014","구조(처리)건수 (건)","소계",남부,하남,1715
"2014","구조(처리)건수 (건)","소계",남부,의왕,756
"2014","구조(처리)건수 (건)","소계",남부,오산,1702
"2014","구조(처리)건수 (건)","소계",남부,여주,2478
"2014","구조(처리)건수 (건)","소계",남부,양평,3334
"2014","구조(처리)건수 (건)","소계",남부,과천,934
"2014","구조(처리)건수 (건)","소계",북부,소계,30466
"2014","구조(처리)건수 (건)","소계",북부,특수대응단,67
"2014","구조(처리)건수 (건)","소계",북부,고양,2746
"2014","구조(처리)건수 (건)","소계",북부,일산,2545
"2014","구조(처리)건수 (건)","소계",북부,의정부,2495
"2014","구조(처리)건수 (건)","소계",북부,남양주,5497
"2014","구조(처리)건수 (건)","소계",북부,파주,5195
"2014","구조(처리)건수 (건)","소계",북부,구리,1417
"2014","구조(처리)건수 (건)","소계",북부,포천,2874
"2014","구조(처리)건수 (건)","소계",북부,양주,3083
"2014","구조(처리)건수 (건)","소계",북부,동두천,1562
"2014","구조(처리)건수 (건)","소계",북부,가평,2053
"2014","구조(처리)건수 (건)","소계",북부,연천,932
"2014","구조(처리)건수 (건)","인명구조",합계,소계,16397
"2014","구조(처리)건수 (건)","인명구조",남부,소계,11927
"2014","구조(처리)건수 (건)","인명구조",남부,특수대응단,316
"2014","구조(처리)건수 (건)","인명구조",남부,수원,1496
"2014","구조(처리)건수 (건)","인명구조",남부,성남,533
"2014","구조(처리)건수 (건)","인명구조",남부,분당,617
"2014","구조(처리)건수 (건)","인명구조",남부,부천,920
"2014","구조(처리)건수 (건)","인명구조",남부,안양,720
"2014","구조(처리)건수 (건)","인명구조",남부,안산,942
"2014","구조(처리)건수 (건)","인명구조",남부,용인,879
"2014","구조(처리)건수 (건)","인명구조",남부,평택,414
"2014","구조(처리)건수 (건)","인명구조",남부,송탄,338
"2014","구조(처리)건수 (건)","인명구조",남부,광명,341
"2014","구조(처리)건수 (건)","인명구조",남부,시흥,481
"2014","구조(처리)건수 (건)","인명구조",남부,군포,337
"2014","구조(처리)건수 (건)","인명구조",남부,화성,568
"2014","구조(처리)건수 (건)","인명구조",남부,이천,334
"2014","구조(처리)건수 (건)","인명구조",남부,김포,512
"2014","구조(처리)건수 (건)","인명구조",남부,광주,377
"2014","구조(처리)건수 (건)","인명구조",남부,안성,274
"2014","구조(처리)건수 (건)","인명구조",남부,하남,298
"2014","구조(처리)건수 (건)","인명구조",남부,의왕,192
"2014","구조(처리)건수 (건)","인명구조",남부,오산,350
"2014","구조(처리)건수 (건)","인명구조",남부,여주,237
"2014","구조(처리)건수 (건)","인명구조",남부,양평,279
"2014","구조(처리)건수 (건)","인명구조",남부,과천,172
"2014","구조(처리)건수 (건)","인명구조",북부,소계,4470
"2014","구조(처리)건수 (건)","인명구조",북부,특수대응단,14
"2014","구조(처리)건수 (건)","인명구조",북부,고양,417
"2014","구조(처리)건수 (건)","인명구조",북부,일산,424
"2014","구조(처리)건수 (건)","인명구조",북부,의정부,625
"2014","구조(처리)건수 (건)","인명구조",북부,남양주,752
"2014","구조(처리)건수 (건)","인명구조",북부,파주,579
"2014","구조(처리)건수 (건)","인명구조",북부,구리,312
"2014","구조(처리)건수 (건)","인명구조",북부,포천,346
"2014","구조(처리)건수 (건)","인명구조",북부,양주,365
"2014","구조(처리)건수 (건)","인명구조",북부,동두천,338
"2014","구조(처리)건수 (건)","인명구조",북부,가평,223
"2014","구조(처리)건수 (건)","인명구조",북부,연천,75
"2014","구조(처리)건수 (건)","안전조치",합계,소계,64061
"2014","구조(처리)건수 (건)","안전조치",남부,소계,43365
"2014","구조(처리)건수 (건)","안전조치",남부,특수대응단,47
"2014","구조(처리)건수 (건)","안전조치",남부,수원,2133
"2014","구조(처리)건수 (건)","안전조치",남부,성남,1964
"2014","구조(처리)건수 (건)","안전조치",남부,분당,2280
"2014","구조(처리)건수 (건)","안전조치",남부,부천,1349
"2014","구조(처리)건수 (건)","안전조치",남부,안양,1793
"2014","구조(처리)건수 (건)","안전조치",남부,안산,2181
"2014","구조(처리)건수 (건)","안전조치",남부,용인,5696
"2014","구조(처리)건수 (건)","안전조치",남부,평택,1754
"2014","구조(처리)건수 (건)","안전조치",남부,송탄,1222
"2014","구조(처리)건수 (건)","안전조치",남부,광명,877
"2014","구조(처리)건수 (건)","안전조치",남부,시흥,1282
"2014","구조(처리)건수 (건)","안전조치",남부,군포,922
"2014","구조(처리)건수 (건)","안전조치",남부,화성,3962
"2014","구조(처리)건수 (건)","안전조치",남부,이천,1890
"2014","구조(처리)건수 (건)","안전조치",남부,김포,1496
"2014","구조(처리)건수 (건)","안전조치",남부,광주,3622
"2014","구조(처리)건수 (건)","안전조치",남부,안성,1581
"2014","구조(처리)건수 (건)","안전조치",남부,하남,1054
"2014","구조(처리)건수 (건)","안전조치",남부,의왕,484
"2014","구조(처리)건수 (건)","안전조치",남부,오산,1103
"2014","구조(처리)건수 (건)","안전조치",남부,여주,1799
"2014","구조(처리)건수 (건)","안전조치",남부,양평,2504
"2014","구조(처리)건수 (건)","안전조치",남부,과천,370
"2014","구조(처리)건수 (건)","안전조치",북부,소계,20696
"2014","구조(처리)건수 (건)","안전조치",북부,특수대응단,30
"2014","구조(처리)건수 (건)","안전조치",북부,고양,1840
"2014","구조(처리)건수 (건)","안전조치",북부,일산,1775
"2014","구조(처리)건수 (건)","안전조치",북부,의정부,1454
"2014","구조(처리)건수 (건)","안전조치",북부,남양주,3495
"2014","구조(처리)건수 (건)","안전조치",북부,파주,3861
"2014","구조(처리)건수 (건)","안전조치",북부,구리,822
"2014","구조(처리)건수 (건)","안전조치",북부,포천,2160
"2014","구조(처리)건수 (건)","안전조치",북부,양주,2186
"2014","구조(처리)건수 (건)","안전조치",북부,동두천,933
"2014","구조(처리)건수 (건)","안전조치",북부,가평,1541
"2014","구조(처리)건수 (건)","안전조치",북부,연천,599
"2014","구조(처리)건수 (건)","기타",합계,소계,17106
"2014","구조(처리)건수 (건)","기타",남부,소계,11806
"2014","구조(처리)건수 (건)","기타",남부,특수대응단,116
"2014","구조(처리)건수 (건)","기타",남부,수원,702
"2014","구조(처리)건수 (건)","기타",남부,성남,630
"2014","구조(처리)건수 (건)","기타",남부,분당,479
"2014","구조(처리)건수 (건)","기타",남부,부천,610
"2014","구조(처리)건수 (건)","기타",남부,안양,1580
"2014","구조(처리)건수 (건)","기타",남부,안산,875
"2014","구조(처리)건수 (건)","기타",남부,용인,1058
"2014","구조(처리)건수 (건)","기타",남부,평택,465
"2014","구조(처리)건수 (건)","기타",남부,송탄,357
"2014","구조(처리)건수 (건)","기타",남부,광명,153
"2014","구조(처리)건수 (건)","기타",남부,시흥,172
"2014","구조(처리)건수 (건)","기타",남부,군포,156
"2014","구조(처리)건수 (건)","기타",남부,화성,901
"2014","구조(처리)건수 (건)","기타",남부,이천,439
"2014","구조(처리)건수 (건)","기타",남부,김포,297
"2014","구조(처리)건수 (건)","기타",남부,광주,449
"2014","구조(처리)건수 (건)","기타",남부,안성,290
"2014","구조(처리)건수 (건)","기타",남부,하남,363
"2014","구조(처리)건수 (건)","기타",남부,의왕,80
"2014","구조(처리)건수 (건)","기타",남부,오산,249
"2014","구조(처리)건수 (건)","기타",남부,여주,442
"2014","구조(처리)건수 (건)","기타",남부,양평,551
"2014","구조(처리)건수 (건)","기타",남부,과천,392
"2014","구조(처리)건수 (건)","기타",북부,소계,5300
"2014","구조(처리)건수 (건)","기타",북부,특수대응단,23
"2014","구조(처리)건수 (건)","기타",북부,고양,489
"2014","구조(처리)건수 (건)","기타",북부,일산,346
"2014","구조(처리)건수 (건)","기타",북부,의정부,416
"2014","구조(처리)건수 (건)","기타",북부,남양주,1250
"2014","구조(처리)건수 (건)","기타",북부,파주,755
"2014","구조(처리)건수 (건)","기타",북부,구리,283
"2014","구조(처리)건수 (건)","기타",북부,포천,368
"2014","구조(처리)건수 (건)","기타",북부,양주,532
"2014","구조(처리)건수 (건)","기타",북부,동두천,291
"2014","구조(처리)건수 (건)","기타",북부,가평,289
"2014","구조(처리)건수 (건)","기타",북부,연천,258
"2014","구조인원 (명)","소계",합계,소계,18322
"2014","구조인원 (명)","소계",남부,소계,13450
"2014","구조인원 (명)","소계",남부,특수대응단,321
"2014","구조인원 (명)","소계",남부,수원,1767
"2014","구조인원 (명)","소계",남부,성남,552
"2014","구조인원 (명)","소계",남부,분당,666
"2014","구조인원 (명)","소계",남부,부천,814
"2014","구조인원 (명)","소계",남부,안양,917
"2014","구조인원 (명)","소계",남부,안산,875
"2014","구조인원 (명)","소계",남부,용인,909
"2014","구조인원 (명)","소계",남부,평택,556
"2014","구조인원 (명)","소계",남부,송탄,380
"2014","구조인원 (명)","소계",남부,광명,366
"2014","구조인원 (명)","소계",남부,시흥,544
"2014","구조인원 (명)","소계",남부,군포,449
"2014","구조인원 (명)","소계",남부,화성,550
"2014","구조인원 (명)","소계",남부,이천,368
"2014","구조인원 (명)","소계",남부,김포,662
"2014","구조인원 (명)","소계",남부,광주,308
"2014","구조인원 (명)","소계",남부,안성,290
"2014","구조인원 (명)","소계",남부,하남,585
"2014","구조인원 (명)","소계",남부,의왕,293
"2014","구조인원 (명)","소계",남부,오산,447
"2014","구조인원 (명)","소계",남부,여주,318
"2014","구조인원 (명)","소계",남부,양평,336
"2014","구조인원 (명)","소계",남부,과천,177
"2014","구조인원 (명)","소계",북부,소계,4872
"2014","구조인원 (명)","소계",북부,특수대응단,13
"2014","구조인원 (명)","소계",북부,고양,434
"2014","구조인원 (명)","소계",북부,일산,621
"2014","구조인원 (명)","소계",북부,의정부,642
"2014","구조인원 (명)","소계",북부,남양주,635
"2014","구조인원 (명)","소계",북부,파주,490
"2014","구조인원 (명)","소계",북부,구리,449
"2014","구조인원 (명)","소계",북부,포천,377
"2014","구조인원 (명)","소계",북부,양주,336
"2014","구조인원 (명)","소계",북부,동두천,461
"2014","구조인원 (명)","소계",북부,가평,282
"2014","구조인원 (명)","소계",북부,연천,132
"2014","미처리(자체처리, 허위등) (건)","소계",합계,소계,40379
"2014","미처리(자체처리, 허위등) (건)","소계",남부,소계,29983
"2014","미처리(자체처리, 허위등) (건)","소계",남부,특수대응단,53
"2014","미처리(자체처리, 허위등) (건)","소계",남부,수원,4546
"2014","미처리(자체처리, 허위등) (건)","소계",남부,성남,1333
"2014","미처리(자체처리, 허위등) (건)","소계",남부,분당,1326
"2014","미처리(자체처리, 허위등) (건)","소계",남부,부천,1969
"2014","미처리(자체처리, 허위등) (건)","소계",남부,안양,107
"2014","미처리(자체처리, 허위등) (건)","소계",남부,안산,2271
"2014","미처리(자체처리, 허위등) (건)","소계",남부,용인,4321
"2014","미처리(자체처리, 허위등) (건)","소계",남부,평택,1100
"2014","미처리(자체처리, 허위등) (건)","소계",남부,송탄,1094
"2014","미처리(자체처리, 허위등) (건)","소계",남부,광명,623
"2014","미처리(자체처리, 허위등) (건)","소계",남부,시흥,1279
"2014","미처리(자체처리, 허위등) (건)","소계",남부,군포,433
"2014","미처리(자체처리, 허위등) (건)","소계",남부,화성,2325
"2014","미처리(자체처리, 허위등) (건)","소계",남부,이천,881
"2014","미처리(자체처리, 허위등) (건)","소계",남부,김포,1050
"2014","미처리(자체처리, 허위등) (건)","소계",남부,광주,1346
"2014","미처리(자체처리, 허위등) (건)","소계",남부,안성,1226
"2014","미처리(자체처리, 허위등) (건)","소계",남부,하남,371
"2014","미처리(자체처리, 허위등) (건)","소계",남부,의왕,376
"2014","미처리(자체처리, 허위등) (건)","소계",남부,오산,843
"2014","미처리(자체처리, 허위등) (건)","소계",남부,여주,324
"2014","미처리(자체처리, 허위등) (건)","소계",남부,양평,583
"2014","미처리(자체처리, 허위등) (건)","소계",남부,과천,203
"2014","미처리(자체처리, 허위등) (건)","소계",북부,소계,10396
"2014","미처리(자체처리, 허위등) (건)","소계",북부,특수대응단,15
"2014","미처리(자체처리, 허위등) (건)","소계",북부,고양,1003
"2014","미처리(자체처리, 허위등) (건)","소계",북부,일산,1582
"2014","미처리(자체처리, 허위등) (건)","소계",북부,의정부,1214
"2014","미처리(자체처리, 허위등) (건)","소계",북부,남양주,1897
"2014","미처리(자체처리, 허위등) (건)","소계",북부,파주,1309
"2014","미처리(자체처리, 허위등) (건)","소계",북부,구리,822
"2014","미처리(자체처리, 허위등) (건)","소계",북부,포천,915
"2014","미처리(자체처리, 허위등) (건)","소계",북부,양주,847
"2014","미처리(자체처리, 허위등) (건)","소계",북부,동두천,172
"2014","미처리(자체처리, 허위등) (건)","소계",북부,가평,504
"2014","미처리(자체처리, 허위등) (건)","소계",북부,연천,116
"2014","사고종별 구조인원 (명)","소계",합계,소계,18322
"2014","사고종별 구조인원 (명)","소계",남부,소계,13450
"2014","사고종별 구조인원 (명)","소계",남부,특수대응단,321
"2014","사고종별 구조인원 (명)","소계",남부,수원,1767
"2014","사고종별 구조인원 (명)","소계",남부,성남,552
"2014","사고종별 구조인원 (명)","소계",남부,분당,666
"2014","사고종별 구조인원 (명)","소계",남부,부천,814
"2014","사고종별 구조인원 (명)","소계",남부,안양,917
"2014","사고종별 구조인원 (명)","소계",남부,안산,875
"2014","사고종별 구조인원 (명)","소계",남부,용인,909
"2014","사고종별 구조인원 (명)","소계",남부,평택,556
"2014","사고종별 구조인원 (명)","소계",남부,송탄,380
"2014","사고종별 구조인원 (명)","소계",남부,광명,366
"2014","사고종별 구조인원 (명)","소계",남부,시흥,544
"2014","사고종별 구조인원 (명)","소계",남부,군포,449
"2014","사고종별 구조인원 (명)","소계",남부,화성,550
"2014","사고종별 구조인원 (명)","소계",남부,이천,368
"2014","사고종별 구조인원 (명)","소계",남부,김포,662
"2014","사고종별 구조인원 (명)","소계",남부,광주,308
"2014","사고종별 구조인원 (명)","소계",남부,안성,290
"2014","사고종별 구조인원 (명)","소계",남부,하남,585
"2014","사고종별 구조인원 (명)","소계",남부,의왕,293
"2014","사고종별 구조인원 (명)","소계",남부,오산,447
"2014","사고종별 구조인원 (명)","소계",남부,여주,318
"2014","사고종별 구조인원 (명)","소계",남부,양평,336
"2014","사고종별 구조인원 (명)","소계",남부,과천,177
"2014","사고종별 구조인원 (명)","소계",북부,소계,4872
"2014","사고종별 구조인원 (명)","소계",북부,특수대응단,13
"2014","사고종별 구조인원 (명)","소계",북부,고양,434
"2014","사고종별 구조인원 (명)","소계",북부,일산,621
"2014","사고종별 구조인원 (명)","소계",북부,의정부,642
"2014","사고종별 구조인원 (명)","소계",북부,남양주,635
"2014","사고종별 구조인원 (명)","소계",북부,파주,490
"2014","사고종별 구조인원 (명)","소계",북부,구리,449
"2014","사고종별 구조인원 (명)","소계",북부,포천,377
"2014","사고종별 구조인원 (명)","소계",북부,양주,336
"2014","사고종별 구조인원 (명)","소계",북부,동두천,461
"2014","사고종별 구조인원 (명)","소계",북부,가평,282
"2014","사고종별 구조인원 (명)","소계",북부,연천,132
"2014","사고종별 구조인원 (명)","화재",합계,소계,371
"2014","사고종별 구조인원 (명)","화재",남부,소계,252
"2014","사고종별 구조인원 (명)","화재",남부,특수대응단,3
"2014","사고종별 구조인원 (명)","화재",남부,수원,36
"2014","사고종별 구조인원 (명)","화재",남부,성남,10
"2014","사고종별 구조인원 (명)","화재",남부,분당,12
"2014","사고종별 구조인원 (명)","화재",남부,부천,29
"2014","사고종별 구조인원 (명)","화재",남부,안양,13
"2014","사고종별 구조인원 (명)","화재",남부,안산,22
"2014","사고종별 구조인원 (명)","화재",남부,용인,5
"2014","사고종별 구조인원 (명)","화재",남부,평택,14
"2014","사고종별 구조인원 (명)","화재",남부,송탄,25
"2014","사고종별 구조인원 (명)","화재",남부,광명,12
"2014","사고종별 구조인원 (명)","화재",남부,시흥,2
"2014","사고종별 구조인원 (명)","화재",남부,군포,-
"2014","사고종별 구조인원 (명)","화재",남부,화성,11
"2014","사고종별 구조인원 (명)","화재",남부,이천,1
"2014","사고종별 구조인원 (명)","화재",남부,김포,12
"2014","사고종별 구조인원 (명)","화재",남부,광주,7
"2014","사고종별 구조인원 (명)","화재",남부,안성,12
"2014","사고종별 구조인원 (명)","화재",남부,하남,9
"2014","사고종별 구조인원 (명)","화재",남부,의왕,6
"2014","사고종별 구조인원 (명)","화재",남부,오산,7
"2014","사고종별 구조인원 (명)","화재",남부,여주,-
"2014","사고종별 구조인원 (명)","화재",남부,양평,3
"2014","사고종별 구조인원 (명)","화재",남부,과천,1
"2014","사고종별 구조인원 (명)","화재",북부,소계,119
"2014","사고종별 구조인원 (명)","화재",북부,특수대응단,4
"2014","사고종별 구조인원 (명)","화재",북부,고양,11
"2014","사고종별 구조인원 (명)","화재",북부,일산,40
"2014","사고종별 구조인원 (명)","화재",북부,의정부,17
"2014","사고종별 구조인원 (명)","화재",북부,남양주,2
"2014","사고종별 구조인원 (명)","화재",북부,파주,3
"2014","사고종별 구조인원 (명)","화재",북부,구리,5
"2014","사고종별 구조인원 (명)","화재",북부,포천,3
"2014","사고종별 구조인원 (명)","화재",북부,양주,23
"2014","사고종별 구조인원 (명)","화재",북부,동두천,6
"2014","사고종별 구조인원 (명)","화재",북부,가평,-
"2014","사고종별 구조인원 (명)","화재",북부,연천,5
"2014","사고종별 구조인원 (명)","교통사고",합계,소계,3702
"2014","사고종별 구조인원 (명)","교통사고",남부,소계,2706
"2014","사고종별 구조인원 (명)","교통사고",남부,특수대응단,22
"2014","사고종별 구조인원 (명)","교통사고",남부,수원,183
"2014","사고종별 구조인원 (명)","교통사고",남부,성남,61
"2014","사고종별 구조인원 (명)","교통사고",남부,분당,108
"2014","사고종별 구조인원 (명)","교통사고",남부,부천,61
"2014","사고종별 구조인원 (명)","교통사고",남부,안양,49
"2014","사고종별 구조인원 (명)","교통사고",남부,안산,130
"2014","사고종별 구조인원 (명)","교통사고",남부,용인,206
"2014","사고종별 구조인원 (명)","교통사고",남부,평택,187
"2014","사고종별 구조인원 (명)","교통사고",남부,송탄,96
"2014","사고종별 구조인원 (명)","교통사고",남부,광명,30
"2014","사고종별 구조인원 (명)","교통사고",남부,시흥,123
"2014","사고종별 구조인원 (명)","교통사고",남부,군포,34
"2014","사고종별 구조인원 (명)","교통사고",남부,화성,206
"2014","사고종별 구조인원 (명)","교통사고",남부,이천,144
"2014","사고종별 구조인원 (명)","교통사고",남부,김포,154
"2014","사고종별 구조인원 (명)","교통사고",남부,광주,82
"2014","사고종별 구조인원 (명)","교통사고",남부,안성,104
"2014","사고종별 구조인원 (명)","교통사고",남부,하남,257
"2014","사고종별 구조인원 (명)","교통사고",남부,의왕,46
"2014","사고종별 구조인원 (명)","교통사고",남부,오산,129
"2014","사고종별 구조인원 (명)","교통사고",남부,여주,131
"2014","사고종별 구조인원 (명)","교통사고",남부,양평,144
"2014","사고종별 구조인원 (명)","교통사고",남부,과천,19
"2014","사고종별 구조인원 (명)","교통사고",북부,소계,996
"2014","사고종별 구조인원 (명)","교통사고",북부,특수대응단,1
"2014","사고종별 구조인원 (명)","교통사고",북부,고양,68
"2014","사고종별 구조인원 (명)","교통사고",북부,일산,100
"2014","사고종별 구조인원 (명)","교통사고",북부,의정부,63
"2014","사고종별 구조인원 (명)","교통사고",북부,남양주,109
"2014","사고종별 구조인원 (명)","교통사고",북부,파주,141
"2014","사고종별 구조인원 (명)","교통사고",북부,구리,123
"2014","사고종별 구조인원 (명)","교통사고",북부,포천,130
"2014","사고종별 구조인원 (명)","교통사고",북부,양주,82
"2014","사고종별 구조인원 (명)","교통사고",북부,동두천,98
"2014","사고종별 구조인원 (명)","교통사고",북부,가평,43
"2014","사고종별 구조인원 (명)","교통사고",북부,연천,38
"2014","사고종별 구조인원 (명)","수난사고",합계,소계,152
"2014","사고종별 구조인원 (명)","수난사고",남부,소계,93
"2014","사고종별 구조인원 (명)","수난사고",남부,특수대응단,13
"2014","사고종별 구조인원 (명)","수난사고",남부,수원,4
"2014","사고종별 구조인원 (명)","수난사고",남부,성남,-
"2014","사고종별 구조인원 (명)","수난사고",남부,분당,3
"2014","사고종별 구조인원 (명)","수난사고",남부,부천,1
"2014","사고종별 구조인원 (명)","수난사고",남부,안양,1
"2014","사고종별 구조인원 (명)","수난사고",남부,안산,6
"2014","사고종별 구조인원 (명)","수난사고",남부,용인,13
"2014","사고종별 구조인원 (명)","수난사고",남부,평택,7
"2014","사고종별 구조인원 (명)","수난사고",남부,송탄,3
"2014","사고종별 구조인원 (명)","수난사고",남부,광명,-
"2014","사고종별 구조인원 (명)","수난사고",남부,시흥,2
"2014","사고종별 구조인원 (명)","수난사고",남부,군포,2
"2014","사고종별 구조인원 (명)","수난사고",남부,화성,2
"2014","사고종별 구조인원 (명)","수난사고",남부,이천,2
"2014","사고종별 구조인원 (명)","수난사고",남부,김포,12
"2014","사고종별 구조인원 (명)","수난사고",남부,광주,1
"2014","사고종별 구조인원 (명)","수난사고",남부,안성,4
"2014","사고종별 구조인원 (명)","수난사고",남부,하남,1
"2014","사고종별 구조인원 (명)","수난사고",남부,의왕,3
"2014","사고종별 구조인원 (명)","수난사고",남부,오산,-
"2014","사고종별 구조인원 (명)","수난사고",남부,여주,3
"2014","사고종별 구조인원 (명)","수난사고",남부,양평,10
"2014","사고종별 구조인원 (명)","수난사고",남부,과천,-
"2014","사고종별 구조인원 (명)","수난사고",북부,소계,59
"2014","사고종별 구조인원 (명)","수난사고",북부,특수대응단,1
"2014","사고종별 구조인원 (명)","수난사고",북부,고양,3
"2014","사고종별 구조인원 (명)","수난사고",북부,일산,-
"2014","사고종별 구조인원 (명)","수난사고",북부,의정부,1
"2014","사고종별 구조인원 (명)","수난사고",북부,남양주,8
"2014","사고종별 구조인원 (명)","수난사고",북부,파주,3
"2014","사고종별 구조인원 (명)","수난사고",북부,구리,4
"2014","사고종별 구조인원 (명)","수난사고",북부,포천,4
"2014","사고종별 구조인원 (명)","수난사고",북부,양주,-
"2014","사고종별 구조인원 (명)","수난사고",북부,동두천,1
"2014","사고종별 구조인원 (명)","수난사고",북부,가평,29
"2014","사고종별 구조인원 (명)","수난사고",북부,연천,5
"2014","사고종별 구조인원 (명)","기계사고",합계,소계,200
"2014","사고종별 구조인원 (명)","기계사고",남부,소계,157
"2014","사고종별 구조인원 (명)","기계사고",남부,특수대응단,1
"2014","사고종별 구조인원 (명)","기계사고",남부,수원,21
"2014","사고종별 구조인원 (명)","기계사고",남부,성남,6
"2014","사고종별 구조인원 (명)","기계사고",남부,분당,5
"2014","사고종별 구조인원 (명)","기계사고",남부,부천,11
"2014","사고종별 구조인원 (명)","기계사고",남부,안양,5
"2014","사고종별 구조인원 (명)","기계사고",남부,안산,7
"2014","사고종별 구조인원 (명)","기계사고",남부,용인,10
"2014","사고종별 구조인원 (명)","기계사고",남부,평택,6
"2014","사고종별 구조인원 (명)","기계사고",남부,송탄,6
"2014","사고종별 구조인원 (명)","기계사고",남부,광명,3
"2014","사고종별 구조인원 (명)","기계사고",남부,시흥,11
"2014","사고종별 구조인원 (명)","기계사고",남부,군포,5
"2014","사고종별 구조인원 (명)","기계사고",남부,화성,7
"2014","사고종별 구조인원 (명)","기계사고",남부,이천,10
"2014","사고종별 구조인원 (명)","기계사고",남부,김포,7
"2014","사고종별 구조인원 (명)","기계사고",남부,광주,6
"2014","사고종별 구조인원 (명)","기계사고",남부,안성,7
"2014","사고종별 구조인원 (명)","기계사고",남부,하남,5
"2014","사고종별 구조인원 (명)","기계사고",남부,의왕,1
"2014","사고종별 구조인원 (명)","기계사고",남부,오산,9
"2014","사고종별 구조인원 (명)","기계사고",남부,여주,7
"2014","사고종별 구조인원 (명)","기계사고",남부,양평,1
"2014","사고종별 구조인원 (명)","기계사고",남부,과천,-
"2014","사고종별 구조인원 (명)","기계사고",북부,소계,43
"2014","사고종별 구조인원 (명)","기계사고",북부,특수대응단,-
"2014","사고종별 구조인원 (명)","기계사고",북부,고양,2
"2014","사고종별 구조인원 (명)","기계사고",북부,일산,7
"2014","사고종별 구조인원 (명)","기계사고",북부,의정부,4
"2014","사고종별 구조인원 (명)","기계사고",북부,남양주,4
"2014","사고종별 구조인원 (명)","기계사고",북부,파주,9
"2014","사고종별 구조인원 (명)","기계사고",북부,구리,5
"2014","사고종별 구조인원 (명)","기계사고",북부,포천,6
"2014","사고종별 구조인원 (명)","기계사고",북부,양주,2
"2014","사고종별 구조인원 (명)","기계사고",북부,동두천,2
"2014","사고종별 구조인원 (명)","기계사고",북부,가평,1
"2014","사고종별 구조인원 (명)","기계사고",북부,연천,1
"2014","사고종별 구조인원 (명)","승강기",합계,소계,4311
"2014","사고종별 구조인원 (명)","승강기",남부,소계,3224
"2014","사고종별 구조인원 (명)","승강기",남부,특수대응단,-
